,0
0,"Это мне поручили узнать, куда время течет И когда в истории начнется новый отсчет Меня направили туда, где рождается молчание Я создан узнать и принести это знание Раньше жили в этом месте люди, но они не верили Что конца этому миру не будет Но стали сбываться древние предсказания Все обречены были на скитание Люди ушли, не переставая ждать Что подобное может случится опять И никто уже не помнит, это сказка или быль Что их прошлую страну поглотила бархатная пыль Точно узнать это можно только там И все готовы поверить моим словам О том покинутом месте, где движения нет Куда может проникнуть только лунный свет Когда-то росли здесь цветы, Исполнялись мечты Здесь жили люди, но потом одни ушли навсегда Жизни других исчезли Без следа Без следа Без следа Я спускаюсь по ступеням в комнату теней В царство забытых дней и ночей Где воздух замещен тишиной И все вокруг окутано призрачной тьмой Сюда последний раз приходили сотни лет назад И я здесь первый за несколько веков подряд Ровные слои бархатной пыли Следы последних посетителей скрыли Ночные тучи расступились Светит луна, луч мутного света льется из окна Холодные каменные плиты пола бархатной пылью покрыты Мои глаза привыкают к этой дикой тьме Я начинаю различать портреты на стене Беру старинную шкатулку в руки Слышу нежные магические звуки Я околдован этим звоном тихим Все вокруг выглядит загадочным двуликим Я прикован к этому магическому миру Да-а, это воплощение психолиры Стенам передается дрожь тела Медленно ступаю я вперед несмело Я не смею нарушать этот великий покой Фигов небрежностью своих шагов Я гляжу без движение сквозь холод камней Пропасть расширяется в памяти моей Время бесшумно поглощает города и страны И ничего уже не значат человеческие планы Замедляется стук времени шагов Затихает нежный шепот песочных часов Мои движения сковала магическая сила И бархатная пыль уже мои мысли покрыла Остановись, постой, замедли сердца бой Сюда проник шум вместе со мной Мерцающий свет засыпающих глаз угасает Сознание мое силу теряет Эти мысли, леденеющая кровь Свет потухнет навсегда и не разбудит меня вновь Я навсегда останусь жертвой бархатной пыли Как и люди те, которые столетие назад здесь жили Ушедшее в прошлое Стертое временем Ушедшее в прошлое Застывшее навеки Психолира Строго Психическая лирика Полюбому... Корни, которые кто-то помнит, кто-то помнит..."
1,"Не знаете Данила Беренцева?Он скоро встретится вам. Не слышали такого автора Достаньте прямо завтра  В литобзорах от споров и силы трения дым валитПахнет ссорой и премией.Прошлый роман Беренцева, этого автораЗнаком читателям всех стран уж года полтора.Все эти месяцы писатель Беренцев выходит редко ни с кем не делится мыслями-первенцами.Как в клетке он глух и немЧто-то ему мерещится в углу в вине Слоняюсь, внутри копаюсь, роюсьИз этого не сделать даже повесть.Как мне самому противна моя моральМожет роман детективный ваять пора?Такой чтоб сердце сжалось, чтоб за пульс держалисьЧтоб судьба решалась, чтоб толпа сбежаласьИ чтоб читатель, испытывая жалость, замер и засиял бы влажными глазами.Так Беренцев кровью и потом ищет вдохновенье в холодном чае с бергамотом с тортом.Перед ним ноутбук с Word-ом.Глянем что там. Но только между нами. Успешных писателей мало. Не завидую авторам, кого миновала судьба маститая.Запах, они чуют ноздрями и голодны они. А как глазеют за поварами – кто что-то выронит?!Повара парят в дыму пряностей,Творят, оторвавшись от реальностиГремят тесаками, кухонными доскамиСорят черновиками, кусками набросками.Повара узнали как люди не прикрыв срам, блюдо их жрали,Лежа перед телевизором.Пальцами с печки хватали – ой, как горячо!Аж не жуя, глотали, вытирая жир плечом.Повар сорвал колпак, бросил дела,Видя как холодные твари, таскали со стола.Швырял в них тестом, кусками текста пресного, эссе масштаба местного старой прессой.Как он на них орал! Рукописи марал.Потом читал мораль коллегам-поварам.Здесь Беренцев застрял давно. Донельзя ушел в астрал – на дно, и опомнился… Не знаете Данила Беренцева? Он скоро встретится вам. К чертям пальто, долой шарф, прочь шапку.Кого вы суки и ** хотели взять нахрапом.Вот он я здесь под фонарем внизуЯ был соринкой, теперь стану бревном в глазу.Ну же, блевотники, бытом растленные,Совести льготники, похоти пленные.Где же вы сплетники, судьи кухонные.Зашторили на ночь свои ямы зловонные.Кончайте прятаться – откройте лоджии.Ну, покажитесь мне – я плюну в рожу вам.Я растопчу вас всех, вдребезги разнесу.Смотрите вот же я под фонарем внизу.Это Беренцев, Это БеренцевВот вам Беренцев, Вот вам Беренцев.Нате жрите, подавитесь, куда попрятались?Сюда смотрите. Ну, че затихли вы?Испугались или повымерли, пообасалися?Хотели съесть меня, сожрать живымНу вот он я, б*дь ну где же вы?! Это же Беренцев.Какой Беренцев?Писатель БеренцевНе слышали такого автора Достаньте прямо завтра.Не знаете Данила Беренцева? Он скоро встретится вам. Не слышали такого автора? Достаньте прямо завтра"
2,"Я зашёл в супермаркет взять минералки, Но по запарке забыл, что хотел и в какой отдел. Много всего чересчур везде сплошные ряды, А я еды не хочу мне, не нужны цветы. И я застыл у рыбы на дне аквариума, Хвосты шевелятся, нет у тварей ума. Щупаю овощи, на витрину смотрю беспомощно, Я корзину взял для чего вообще. За мной идёт, что от меня ему надо, Не отстает блять вот засада, Вроде держит дистанцию боится спалиться, Ха, я тебя выпас тупица! Не отстаёт ни на шаг, вижу краем глаза, Торчит в овощах напротив вот зараза. С понтом тоже покупатель ходит с корзиной, Но она пустая, а прошли уже пол магазина. Все они следят за мной одним, не к добру спокойно всё вокруг. Все они следят за мной одним, не к добру спокойно всё вокруг. Все они следят за мной одним, не к добру спокойно всё вокруг. Все они следят за мной одним, не к добру спокойно всё вокруг. Алкоголя я так и не выбрал, От сырого мяса чуть не вырвал. Подумают я что-то стибрил, На посетителя смотрю как он. Набрал уже вагон шоколадных драже. Походу это мент он пас меня от дома, Походу это засада постанова. Хотят гады чтоб медаль на них надели, За поимку планокура в молочном отделе. Походу мне каюк, но я ещё не пойман, Может это глюк? Ага какой там! За кассами видишь, битюги в кожаных куртках И кассирши затаились как собаки в будках. А вот и чей то смех где-то скрытая камера, Куда же деть корзину здесь сплошное палево. Подфартило опер отвернулся к консервам, Ставлю на пол её моя корзина хер вам. Я не нашёл ничего в продаже минут за сорок, Меня заподозрят в краже, вот позор а. Касса всё ближе Охранники, кассирши подскакивают на ноги в панике прямо вижу. А что случилось дальше не очень понял я, Больно, я споткнулся о корзину полную. О моя! Беру, всё это несу на ленту кладу в пакеты, Вот же бред а. Кольца кальмара, чипсы, сигары, Кола, вода, фруктовые нектары, Орешки, хрустящая соломка, сухарики, Кириешки и мармеладные шарики. Теперь мне всё хана я через щель смотрю, Между бутылок вина схватил корзину мою С ухмылочкой достаёт покупки палевые, Походу встрепался я и пропали мы. Кольца кальмара, чипсы, сигары, Кола, вода, фруктовые нектары, Орешки, хрустящая соломка, сухарики, Кириешки и мармеладные шарики. Ух ты, сухофрукты, разные жвачки, Леденцы, жёлтый полосатик в пачке. Крекеры, ирис, шоколадные медали, Киндер сюрприз и батончики с миндалем. Глазированный сырок, финики, кешью, А я кофейную карамель пожую. О тут мороженое бодрая корова, Может это глюк может постанова."
3,"Не каждый день, бывает блядь три дня дома на ломах А вообще нужно каждый день. Когда деньги есть. Когда денег нет, я лежу ссусь, срусь в кровать. Возьми баян и воткни себе в венуПару кубов галлюциногенаПочувствуй приходПочувствуй как тебя претКак кровь из носа фонтаном бьет.Пусть тело твое ноет от боли,Ты рана в которую насыпали соли.Высоси гной, сплюнь его на стену, Потом возьми баян и воткни себе в вену.ЭпилепсияДа у тебя такое часто бывает,Когда мертвой хваткой стиснуты зубыИ белая пена пачкает губы.В такие минуты ты теряешь рассудокТы плачешь от страха вонючий ублюдокНо сопли твой никого не волнуютКаждый сам у себя здоровье воруетПеред смертью не надышишся и ты это знаешь,Но все равно как рыба воздух глотаешьДыши, не дыши ты крякнешь по любомуИли в лучшем случае провалишься в кому. Это вирус Это вирус он сидит внутриЭто вирус Это вирус что ни говориЭто вирус Это вирус он сидит внутриЭто вирус Это вирус что ни говориЭто вирус Это вирус от него не убежишьОн твой хозяин, ты подопытная мышьКожаная кукла с дырявыми руками,Мертвыми глазами, сухими кулаками,Твое гнилое сердце еле-еле стучит,Еще пять минут и оно замолчит.Вырви его и выкинь в унитаз -Плохого никогда не посоветует ДасВыше крыши не прыгнешь -Даже не пытайся.Тем кем ты был, тем и оставайся.Живи в своей нореЧпокай себе в вены!И украшай блевотиной стены. Это вирус Это вирус он сидит внутриЭто вирус Это вирус что ни говориЭто вирус Это вирус он сидит внутриЭто вирус Это вирус что ни говори Для начала, хотела бы бросить,Конечно, потому что уже даже машины останавливаются,На меня смотрят, «ты»- говорят, «ты откуда вылезла?»,Потому что это уже стыдно."
4,"Пока кто-то там шёпотом где-то там дисит,Вот эта босота к нам за кулисыПрёт. Это так, а мы впятеромТо в Сибири где-то, то где-то под Питером. Пейте ром в кругу друзей ваших давнишних:Андрея, Юры, Влада, Антона и Миши.Пусть молодые пишут и дух борьбы царит,Только пусть эти рыцари друг другу глаза не выцарапают. Тогда будет кому прийти на смену нам всем,Только следите пацаны за своим пьяным рамсом.Я и сам кромсал речь ранее по пьяни.Отфильтровал. Теперь внимание. Мания моя как у пиратов была на Карибах,Покорить мир, как его покорил Бах.Видит Бог, в залах не будет пусто.Ты не устал? Это Каста, чувствуй! Вокруг шум. Пусть так.Ни кипешуй. Всё ништяк. Какие-то типы качают головой в ритм.С таким видом, мол узнали себя они там,В наших песнях. И новый смысл на старом местеУже нашли. Он и вправду есть там. Каста звучит на весь дом у неё, у красавицы,Что любуется своим бельём с кремом на лице.Перед зеркалом кривляется, танцует.Прямо супер. Такого не увидишь в клубе. Да, в клубах мало что заметноИз-за пафоса и азарта всё вверх дном.Но когда ты завтра очнёшься в смутах -Мы вернём к старту твой рассудок. Вы смотрите на главных каналах все эти сериалы,Которые снимали для умственно отсталых.Вы читаете журналы, где смакуютФото пьяных кинозвёзд и прочую такую. Вам нравятся рассказы о всём самом-самом?Вы любите полазить по ссылкам из спама?И ерунду повыбирать из этого хлама,Именно ту, что расхваливает реклама? Что ж, зато в мирное время живёшь.Друзья на свободе, люди на работе, молодёжьНа дискотеках. Я уж года полтора какНе видел, чтоб где-то на улицах что-то решалось в драках. Лениво люди бродят по торговым центрам,За рубль с чем-то технику берут под проценты.Так бы и шло, только не заплыл бы мозг жиром.Кому тяжело  держитесь, желаем мира."
5,"Когда умрем мы станем грудой прахаПока живем мы хрупкое стекло без прахаКогда умрем мы станем грудой прахаПока живем мы хрупкое стекло без праха По времени живя ни кто его не знает,А значит и себя самих не понимаетВ какое время мы родилисьКакое время нам прикажет удалисьВремя ищи тебя рождает племяИ так продолжается и человечье племяНо время времени нам кажется длиннейКоротким сроком черно белых днейНо времена различны все по временамКто нечто то ничто они подобны намСклонись к песочной струйке человекЧтоб башня твоя пеплом не была весь векБежит песок в часах перетекаяНо движется еще быстрее жизнь людскаяСейчас о времени мы рассуждаем с вамиНо время это мы Некто другой мы самиВсю вереницу суток звезд орбитПересчитывает смерть а время лишь растит и хранитГранит переходит в песок восход в закатСтрелки часов стирают циферблат Дни пролетают незаметно проходятА кости в плаще с косой рядом бродятВсе минуты и секунды постоянно считаютИ о времени прошедшем они не вспоминаютПацаны делают много дерьмаКаждый по своему на что хватит умаВ их мыслях тьма порождает порокиУменьшая тем самым им отпущенные срокиНо когда-нибудь наступит ужасный час покояБудет тихо как после страшного бояВремя остановится и все затихнет сразуКто-то не окончит уже начатую фразуЕще одна секунда проникла в никудаС чьим-то дыханьем вырвется душаЕсли в твоей жизни с рассветам встанет злоДуше твоей ничтожной считай не повезлоВремя без времен когда-нибудь придетИ нас из нашей жизни насильно уведетИ мы тогда покинув человеческое племяПредстанем перед тем Над кем не властно время"
6,"Случилось пару лет назад, В душе осталась трещина. Помню похороны, кричала женщина. Словно она и была центром земли, Когда стояли над могилой мы. Ливень лил… Муж успешным был, знаю не по рассказам Имел хороший бизнес, видимо был заказан Оставил дочь, да мальца-сорванца Стоят, жмутся к матери два птенца  А где была братва вся эта свора? Вечно таскал их в дом... а под утро ссора Отказывать нельзя... бывал у них и я сам Не скажу что друзья скорее был обязан.  Дом уйдет за долги через полгода Они одни в центре немого хоровода Это финал! теперь она точно знала! Ох и кричала же она...как она кричала... Забудьте же! В стороне будьте же! Милый! Это не люди, а муляжи! Все, кого держал под боком, стоял горой! Отдали моего сокола земле сырой!  Не вы ли, те с кем детей мы наших крестили? Не вы ли, кому постели в доме стелили? Ну что, остыли? Недавно орали тосты! Не я бессильна! ваши глаза пусты!  Без паники… как же быть с этим… Лучше спрятать их... запереть их… Без паники… вырастут будет легче…Нужно укрыть их… уберечь их… Без паники, как же быть с этим… Лучше спрятать их… запереть их… Без паники… вырастут будет легче Нужно укрыть их… уберечь их… Без паники, как же быть с этим…Лучше спрятать их… запереть их… Оля уткнулась в окно, и как бы нет её В этой машине, зато есть мама за рулем В зеркале заднего вида глаза её застыли Глядят сердито красивые, злые  Рядом с Олей, на заднем сидении, Саша Ребенок лет шести, Олин брат старший Саша смотрит на маму исподлобья с обидой Они скрестили взгляды в зеркале заднего вида Мама, почему все время мы куда то едем? Почему не ходим в садик, как другие дети? Почему ты злишься! Злишься без конца? Почему ты говоришь, что не было у нас отца? Машина стоит, двери и окна закрыты Пристегнуты ремни, горят габариты Диск сказок на паузе в магнитофоне Изредка гул машин...больше ни звука в салонеМама отвечает молчаньем, в глазах её злоба Маленького Сашу от страха пробирает ознобом Невозможное молчанье давит все беспощаднее Как в жар, Олю бросает в отчаяние Будто с треском рвутся и разлетаются бусы Как в лихорадочном и мутном сне не можешь проснуться Будто падаешь, падаешь в темноту И ухватиться не за что, и крик застывает во рту  Как будто не Олины руки бьют стекло Ко боли! Пусть будет еще больней! на зло! И все мерцает сквозь слезы, все размыто... Саша, мама, вселенская обида..."
7,"Влади: Я помню Олечку тихоней ниже травы, А тут я слышу в телефоне чё где там вы. На встречу одногруппников приходит Олечка, В блядских чулках, в юбке зимой, в очках. Такая: «тыры пыры, алё малё, Ой ой ей, всё нормалёк».  Олечка что с тобой? Вобще как ты? А она уже поддатая: «фау фау у меня всё пиздато». А те кто был оторванный безбашенными, Теперь стали покорными мамашами. Я помню этих приколисток поверить сложно, Что кто то стал из них экономистом дотошным. Немного пьянее я объявил одной из них, Как я болел ею все пять лет горестных. И вот я дожил чтоб признатся так запросто И прямо в том же ей признался блин староста. Припев: Вот время было помню: таким казался мир огромным, И те кто стал теперь посторонним, вспоминается с теплом мне. Вот время было помню: таким казался мир огромным И те кто стал теперь посторонним, вспоминается с теплом мне. Шым: У меня был друг... Когда прошлого касаются мысли, Во многих эпизодах появляемся мы с ним, Уехал он лет семь назад, Звонил каждый год, передавал привет всем, Ну вы же знаете как это по межгороду, Весёлое подбадривание, приедеш скоро там, И вот он здесь проездом какой то левый чувак, С деловым видом и тоном мрачный, вобщем чужак, Приличия ради, посидели в ресторане, Воспоминания ранние попереберали. Новых тем ненашлось ели молчаливо, Собрался в аэропорт гость ну счастливо, Как общались мы раньше, что роднило нас? Сотни мелочей пустяшных но всё сдвинулось, Человек регенерируется весь за семь лет, Клеток, из которых состояли мы совсем нет. Припев: Вот время было помню: таким казался мир огромным И те кто стал теперь посторонним, вспоминается с теплом мне. Вот время было помню: таким казался мир огромным И те кто стал теперь посторонним, вспоминается с теплом мне."
8,"Серые прорези красного небаРезкие краски, прошлые бедыЗнакомый район, но пустые кварталы.Не видно людей, кругом одни шакалы.Они ищут добычу под маской заката,За кусок свежего мяса убивают брата.Люди живут по законам пустыниИх души молчали, сердца их остылиСвечи давно догорели в храмахНе заживают и дымятся старые раныПокрываются пылью безликие иконыЯ слышу крик это летят вороныРазбитое распятье смотрит в никудаВ каменных глазах еще видна слезаВ ней видно солнце как оно заходитЗа край земли и свет за собой уводитКогда я один, мне становится тесно,Я слышу гимн он заполняет местоЗвуками и нотами из уличных запасовСтранной морали всех низших классовПрямо из жизни простого геттоВсе как всегда, но совсем не просто этоВедь это закат перед завершеньем суток,Серьезная тема, где не будет шуток. Ворон отчужденно кричит ему просто страшноОн чувствует что-то, наверное это важноВ его глазах танец магической семерки,Всех тринадцатых чисел и еще одной шестерки.Под музыку красного неба, сухого ветраОни танцуют, опустошая километры.Мелодия льется, разбиваясь о землюОна падает оттуда, она падает сверху.Прямо на нас она падет смертьюЗвуком печали и грузом ответовНо в ней не слышна мелодия лестиЛишь звуки предательств, отчаянной местиРвущихся связок и звук тишиныСпускового механизма и неискупленной виныСлышныТихие всхлипы вместо смехаОн разбился на куски оставив звонкое эхоЯ слышу шаги, где-то рядом, без сомненьяЭто духи уходят через другое измереньеПрямо на небо, вслед за красным лучомОни идут к закату с щитом и мечом. Ветер разносит отрывки симфонийПепел жизни и следы агонииСгоревших идей, дотлевающей стали Останки людей, которые воссталиХолодная музыка плывет над райономКидает пищу голодным воронамКружит над улицами, где не видно богаГде при жизни и при смерти всего одна дорогаПо которой души уносит куда-тоПо лестнице в небо во время заката.Они не смотрят назад и не машут рукойВ них холод глубин, они уходят на покойСо своего района на краю светаИз грязной трущобы опустевшего геттоНо если б хоть где-то задержались лучиЕсли б солнце могло породить огонь свечиОтражаться в воде, но здесь лишь мутные лужиБлестеть в зеркалах, мне нужен хоть кусок стеклаСвет в моих глазах, хотя этого мало"
9,"А рассказать друзьям – ведь засмеют же тут жеА если не засмеют, то это еще хуже.Сидел бы себе дома да тут какой-то голос внутри: «Оденься и выйди» –говорит.Ну, я накинул куртку, спустился во двор Передо мной новостройка машина, забор. И слышу снова голос, он говорит: «Перелезь!»И вот стою теперь здесь, а голос исчез!А вот бы здорово было если бы, в самом деле, в мою бы голову голос такой бы был поселен, но не играл бы мной, а вел бы словно за руку и я шагал бы как малыш с отцом по луна-парку.Вот это тема была бы я знал бы все напередВсе говорили бы: «Миша тебе по жизни везет».И все бы было бы иначе тогда бы наверняка. Прошу прости меня Господи, дурака! Чей голос ведет меня сквозь будниОн запутал путь мнеОн шалит со скуки, он мой давний спутникГолос ведет меня сквозь будниОн запутал путь мнеОн шалит со скуки, он мой давний спутник Я смотрел дома в окно, из-за которое на полрайона киноМожно снять за шторами,Тревогу переборол, взял ключи, запер дверь и побрел из-за таких причин:Я услышал голос свышеКак в фильмах ужасах послушался и вышел на встречу незнакомке, мне обещанной мимо бензоколонки через газон поспешно, вьются ее волосы, силуэт безупречный. Я благодарен голосу за эту встречу.Ночь, луна в окнах новостройки и вместе мы идем прочь шагом широкимОткуда тут счастливый случай что-то не так, нет незнакомки слышу голос брехуна: «Здесь ты только лай этот и луна» Чей голос ведет меня сквозь будниОн запутал путь мнеОн шалит со скуки, он мой давний спутникГолос ведет меня сквозь будниОн запутал путь мнеОн шалит со скуки, он мой давний спутник Послушай, понимаешь ты превратился в свой собственный персонаж, это все равно как участвовать в маскараде и никогда не снимать маску, даже когда возвращаешься домой. Уходишь ночью, напиваешься, спишь пристроившись под машиной, возвращаешься с листьями в волосах, грязью на одной щеке ковыляешь на кухню. Давай действуй, пробей головой эту сцену – упади лицом в клавиши пианино – и увековечь это и свою преждевременную кончину, и парад уродов живущих по соседству. Чей голос ведет меня сквозь будниОн запутал путь мнеОн шалит со скуки, он мой давний спутникГолос ведет меня сквозь будниОн запутал путь мнеОн шалит со скуки, он мой давний спутник"
