,0
0,Раздватричетырепять
1,Будем
2,пальчики
3,считать
4,Крепкие
5,дружные
6,Все
7,такие
8,нужные
9,На
10,другой
11,руке
12,опять
13,Раздватричетырепять
14,Пальчики
15,быстрые
16,Хоть
17,не
18,очень
19,чистые
20,Много
21,пальчикам
22,хлопот
23,То
24,играют
25,в
26,ладушки
27,То
28,зачемто
29,лезут
30,в
31,рот
32,Книжки
33,рвут
34,у
35,бабушки
36,Переделав
37,все
38,дела
39,Тянут
40,скатерть
41,со
42,стола
43,Лезут
44,в
45,соль
46,и
47,в
48,компот
49,А
50,потом
51,наоборот
52,Пальчики
53,дружные
54,Все
55,такие
56,нужные
57,Он
58,сам
59,Отправился
60,в
61,лес
62,Сам
63,На
64,берёзу
65,полез
66,Сам
67,Ухватился
68,за
69,ветку
70,Сам
71,Оцарапал
72,коленку
73,Сам
74,Свалился
75,с
76,берёзы
77,Сами
78,Закапали
79,слёзы
80,Он
81,сам
82,свои
83,слёзы
84,вытер
85,Никтоникто
86,их
87,не
88,видел
89,Один
90,только
91,ветер
92,увидел
93,Видел
94,но
95,только
96,не
97,выдал
98,Ветер
99,И
100,виду
101,не
102,показал
103,И
104,никомуникому
105,не
106,сказал
107,Гусьгусёк
108,куда
109,пошёл
110,ты
111,На
112,речной
113,песочек
114,жёлтый
115,А
116,ты
117,гуляголубок
118,В
119,лес
120,зелёный
121,на
122,дубок
123,А
124,ты
125,куда
126,Алёнушка
127,Я
128,во
129,двор
130,на
131,солнышко
132,Наша
133,Таня
134,громко
135,плачет
136,Уронила
137,в
138,речку
139,мячик
140,Тише
141,Танечка
142,не
143,плачь
144,Не
145,утонет
146,в
147,речке
148,мяч
149,Зайку
150,бросила
151,хозяйка
152,Под
153,дождём
154,остался
155,зайка
156,Со
157,скамейки
158,слезть
159,не
160,мог
161,Весь
162,до
163,ниточки
164,промок
165,Уронили
166,мишку
167,на
168,пол
169,Оторвали
170,мишке
171,лапу
172,Всё
173,равно
174,его
175,не
176,брошу
177,Потому
178,что
179,он
180,хороший
181,Спать
182,пора
183,Уснул
184,бычок
185,Лёг
186,в
187,коробку
188,на
189,бочок
190,Сонный
191,мишка
192,лёг
193,в
194,кровать
195,Только
196,слон
197,не
198,хочет
199,спать
200,Головой
201,кивает
202,слон
203,Он
204,слонихе
205,шлёт
206,поклон
207,Я
208,люблю
209,свою
210,лошадку
211,Причешу
212,ей
213,шёрстку
214,гладко
215,Гребешком
216,приглажу
217,хвостик
218,И
219,верхом
220,поеду
221,в
222,гости
223,Идёт
224,бычок
225,качается
226,Вздыхает
227,на
228,ходу
229,Ох
230,доска
231,кончается
232,Сейчас
233,я
234,упаду
235,Петушок
236,петушок
237,Подари
238,мне
239,гребешок
240,Ну
241,пожалуйста
242,прошу
243,Я
244,кудряшки
245,расчешу
246,Давай
247,будем
248,одеваться
249,Я
250,сама
251,Я
252,сама
253,Пойдём
254,будем
255,умываться
256,Я
257,сама
258,Я
259,сама
260,Ну
261,идём
262,хоть
263,причешу
264,я
265,Я
266,сама
267,Я
268,сама
269,Ну
270,давай
271,хоть
272,накормлю
273,я
274,Я
275,сама
276,Я
277,сама
278,Взгляни
279,на
280,маленьких
281,совят
282,Малютки
283,рядышком
284,сидят
285,Когда
286,не
287,спят
288,Они
289,едят
290,Когда
291,едят
292,Они
293,не
294,спят
295,Из
296,цветной
297,пушистой
298,байки
299,Малышам
300,игрушки
301,шьём
302,Куклы
303,мячики
304,и
305,зайки
306,Их
307,всё
308,больше
309,с
310,каждым
311,днём
312,Здесь
313,игрушек
314,целый
315,угол
316,Белый
317,выводок
318,зайчат
319,И
320,косички
321,толстых
322,кукол
323,Кверху
324,бантами
325,торчат
326,Вот
327,тигрёнок
328,полосатый
329,У
330,тигрёнка
331,добрый
332,вид
333,Потому
334,что
335,только
336,ватой
337,У
338,него
339,живот
340,набит
341,Раз
342,два
343,три
344,четыре
345,пять
346,Собираемся
347,гулять
348,Завязали
349,Катеньке
350,Шарфик
351,полосатенький
352,Катя
353,саночки
354,везёт
355,От
356,крылечка
357,до
358,ворот
359,А
360,Серёжа
361,на
362,дорожке
363,Голубям
364,бросает
365,крошки
366,Девочки
367,и
368,мальчики
369,Прыгают
370,как
371,мячики
372,Ножками
373,топочут
374,Весело
375,хохочут
376,Почему
377,не
378,пляшет
379,Новенькая
380,наша
381,Катя
382,к
383,новенькой
384,идёт
385,В
386,хоровод
387,её
388,ведёт
389,Огни
390,погасли
391,Уснули
392,ясли
393,И
394,Лида
395,и
396,Катя
397,И
398,куклы
399,в
400,кровати
401,Только
402,Мишка
403,не
404,спит
405,На
406,окне
407,сидит
408,Глядит
409,на
410,луну
411,Никак
412,не
413,усну
414,На
415,дверях
416,висел
417,Замок
418,Взаперти
419,сидел
420,Щенок
421,Все
422,ушли
423,И
424,одного
425,В
426,доме
427,Заперли
428,его
429,Мы
430,оставили
431,Трезора
432,Без
433,присмотра
434,Без
435,надзора
436,И
437,поэтому
438,щенок
439,Перепортил
440,всё
441,что
442,мог
443,Разорвал
444,на
445,кукле
446,платье
447,Зайцу
448,выдрал
449,шерсти
450,клок
451,В
452,коридор
453,изпод
454,кровати
455,Наши
456,туфли
457,уволок
458,Под
459,кровать
460,загнал
461,кота
